"","logFC","AveExpr","t","P.Value","adj.P.Val"
"HIF3A",-8.00856222032228,-0.489563080792656,-65.5995002204913,0,0
"ADAM33",-6.23204546020496,2.14734412359948,-54.4697645330866,0,0
"LGI4",-5.14762503893133,1.71280686719869,-61.6051070959432,0,0
"BTNL9",-6.81599665319913,2.81101743601784,-56.8824219537655,0,0
"ATOH8",-5.6259756068222,1.23695612669758,-53.3819383918411,0,0
"CA4",-8.28103754052407,-2.20317506565081,-52.8660392995689,9.88131291682493e-324,2.66844855318857e-320
"LYVE1",-5.48752938548764,1.67883362984844,-51.7639858622136,9.80289738665837e-316,2.26909066223035e-312
"CLDN5",-5.83689231210236,3.44221457386545,-51.6507602559172,6.48019671504628e-315,1.3124828421735e-311
"ABCA10",-5.76723797388514,0.702429088021021,-51.5793553379734,2.13398324743057e-314,3.84188117312434e-311
"ANGPT4",-6.25838640553086,-1.46192327867757,-51.4149756976596,3.32441626318444e-313,5.38655167123775e-310
"GPR17",-6.27505239179038,-2.03313535809805,-50.8442074528448,4.70787991508522e-309,6.93470711492053e-306
"PDE2A",-4.80906408287966,3.33715926375388,-49.9395850575385,1.92542336600339e-302,2.59980289994607e-299
"ABCA9",-5.53035897737412,2.17897400473555,-49.4544445788885,7.02209588035728e-299,8.752232273033e-296
"CD300LG",-7.685379347587,0.327743269426064,-48.3655492851405,7.60800960827712e-291,8.8051842630653e-288
"ADCY4",-4.35921932864524,3.61552285231558,-47.8486695363192,5.17839854638543e-287,5.59370610980554e-284
"AGAP11",-5.1544894852219,0.791555152559369,-47.0097385356508,9.12972600514288e-281,9.24555940383313e-278
"PRCD",-4.53270529552702,-1.02463036900916,-44.9750211656529,1.70934920821841e-265,1.62921089533899e-262
"PEAR1",-4.00693874200411,3.09359732766722,-44.8366929835341,1.89276465910307e-264,1.70380365396928e-261
"MYOC",-7.54298649833228,-3.27039556939024,-44.5051421813606,6.06716134961042e-262,5.17401133409146e-259
"KANK3",-4.28902108788819,1.92681657018461,-44.2145348689775,9.61132454748085e-260,7.78661458214161e-257
"GPIHBP1",-5.37639214650267,1.58088446561378,-43.4652301394673,4.6642200661454e-254,3.59877893960733e-251
"STARD9",-3.8352673838857,3.31459939061878,-42.8705596670522,1.5671623215745e-249,1.15421504983962e-246
"GABRE",-5.85384026470518,2.41896045252561,-42.2089105518536,1.75684442885195e-244,1.23765870785601e-241
"KDM5D",-9.02688371614906,-5.07643781925982,-41.9488285774105,1.7113483401921e-242,1.15537404817219e-239
"SOX17",-4.22071110171513,1.95562145482859,-41.8287171004423,1.42035372523231e-241,9.20559656397563e-239
"ITGA7",-4.97442842838915,3.89601126762681,-41.7609680925027,4.68789357510343e-241,2.92145921528465e-238
"DDX3Y",-9.16435210625228,-5.0059182789316,-41.719603282899,9.720032227293e-241,5.83309933995661e-238
"SCN4A",-5.57739134417203,0.922814871828442,-41.4542119884472,1.04874015701691e-238,6.06883455862323e-236
"NPPA",-5.51298407122823,-4.13626880114892,-41.3071068660955,1.40733390792028e-237,7.86311424483873e-235
"TDRD10",-4.63994281456394,-0.487393868080737,-41.2099784632131,7.82206627135413e-237,4.22469799315837e-234
"HSPB6",-5.60762799247705,3.67302158323393,-41.1529505411857,2.14197509917132e-236,1.11956201715719e-233
"PGA3",-6.86477636706203,-3.88569224450061,-40.9582921167405,6.68031557157801e-235,3.3825360376962e-232
"USHBP1",-3.98458258528204,1.51262030466202,-40.938459256623,9.48566387702874e-235,4.65746096362111e-232
"MYH7",-6.94560323516708,-4.19214783640768,-40.8780225907777,2.76149961934045e-234,1.3160170097698e-231
"SLCO4A1",-4.96614978371328,1.49921637773564,-40.856315617825,4.05368537397499e-234,1.87662468898619e-231
"SHANK3",-3.91943470316107,4.96130972429187,-40.7036477485873,6.03456246645194e-233,2.71605599010891e-230
"MLXIPL",-5.97920748197506,1.16957124408661,-40.2759557518141,1.1728323957759e-229,5.13605494831266e-227
"PGA4",-6.41187893942159,-3.96995344764189,-40.259772090419,1.56228516835091e-229,6.66150173231309e-227
"LCN10",-6.29110808679856,-1.5153621162515,-40.2469175184229,1.96188477263138e-229,8.15087665921699e-227
"GPR146",-4.22720453899687,2.06799565870838,-40.2138575114469,3.52436411668386e-229,1.42763179456571e-226
"SCARA5",-6.47680534664914,0.602906813001147,-40.0947760436193,2.90842839705265e-228,1.14939671505961e-225
"KLF15",-5.07670379567011,0.933833839724304,-39.8809085986729,1.29005649095244e-226,4.9768536483101e-224
"FXYD1",-5.12475431209813,0.955131918827819,-39.8467011768288,2.36660796875244e-226,8.91770905062691e-224
"PPP1R14A",-4.7089542065489,1.31591384308684,-39.7590568822565,1.12049689952354e-225,4.12622983249543e-223
"LY6G5B",-3.63096678851929,2.20843770892132,-39.3750161952596,1.02390340249342e-222,3.68673485124464e-220
"LCAT",-3.6267256828893,1.964653902577,-39.2423285081449,1.08125141850755e-221,3.80859059436473e-219
"RPS4Y1",-9.61775800521678,-4.51544145079555,-39.1566521133613,4.95548866627693e-221,1.7083783587167e-218
"PGA5",-6.01277972736466,-4.76740988533536,-38.9410151578861,2.28950388329891e-219,7.72850654606089e-217
"NPR1",-4.29600874344928,3.45135238289049,-38.8686991858408,8.28295384733183e-219,2.73895308547587e-216
"MT1M",-5.28665160899522,0.803892292704645,-38.8195918558146,1.98361397909062e-218,6.42809946064106e-216
"RAPGEF3",-4.26805724939716,4.28134740145138,-38.6666557313463,3.01226759374904e-217,9.57015133755211e-215
"ADH4",-6.42636195565602,-3.94336408015991,-38.4923733836286,6.69414299994245e-216,2.08586921207822e-213
"SLC25A27",-4.4724577988211,1.36646542645551,-38.4863409321826,7.45281830940196e-216,2.27845311447623e-213
"IGFBP6",-4.43712228396107,3.36409086634437,-38.3565985916872,7.50325119534863e-215,2.25139220589322e-212
"USP9Y",-7.95680097523402,-5.2817811609258,-37.6484532899291,2.25661469572701e-209,6.64798689361176e-207
"DEFB124",-4.82942781829447,-5.16464850492524,-37.5001764380216,3.17181009663273e-208,9.17729267781073e-206
"FAM107A",-4.99280270955906,2.61391824774834,-37.3493185697935,4.67063860285036e-207,1.32769047863131e-204
"ABCA6",-4.27237132069064,2.59230105296151,-37.3046342688918,1.03610447947809e-206,2.8944829105144e-204
"TMEM132C",-6.42784801304463,-0.0947267925307157,-37.0472502376622,1.02069835534648e-204,2.80311448333542e-202
"FLG2",-5.15375810046837,-5.05237231994973,-37.0132894366645,1.87056833798143e-204,5.05146979671885e-202
"PKD1L2",-4.9395396387832,0.209221425098603,-36.6825912714217,6.82600488816081e-202,1.81314356070278e-199
"CPA1",-6.22605179409309,-3.6414569632224,-36.6056069917292,2.69607776129964e-201,7.04589483328033e-199
"ADM",-4.70725300127474,3.43014719356983,-36.5476933748178,7.57772343022074e-201,1.9489182974582e-198
"AQP7",-6.57073676014982,0.941190320191822,-36.5370367899469,9.16483933275961e-201,2.3202795579485e-198
"PHYHIP",-4.47273439333199,0.414583510459911,-36.3481531047553,2.66701641221295e-199,6.64825645032099e-197
"MYL2",-5.75841751818791,-4.4151677711357,-36.2886005169423,7.71984357830377e-199,1.89522159847358e-196
"REG1A",-6.23813833433165,-5.48194219331594,-36.2864249142397,8.02548952245664e-199,1.94085084675172e-196
"CNR1",-5.55085417937589,0.525300802991033,-36.1190502814316,1.59161880854224e-197,3.79249993453088e-195
"ELANE",-5.5730442524924,-3.85638882387142,-36.1157558602712,1.68801372257743e-197,3.9638965720177e-195
"DEFA1B",-5.41281473939591,-5.67075785454978,-36.062346170675,4.37914027892956e-197,1.01364585627851e-194
"HSD17B13",-5.52961239155273,-2.27077711168415,-36.0383103611849,6.72524981735803e-197,1.53477778578383e-194
