"","logFC","AveExpr","t","P.Value","adj.P.Val"
"CLEC4M",-9.30020491174522,-2.1216382416838,-38.3783398010623,8.31798632806055e-149,1.26641341844722e-144
"MYH7",-7.12282358654687,-4.16477520667324,-37.4279038755422,7.02704809324121e-145,5.34934036097987e-141
"CRNN",-5.88237809314732,-4.9390612840565,-35.9663842780023,9.57185687764524e-139,4.85771736540496e-135
"GDF2",-7.90284628411585,-2.94561844955733,-33.8791396077013,8.73757002418293e-130,3.32573759045463e-126
"MYL2",-5.87843818341941,-4.5572616672164,-31.9703746145438,2.17101128323359e-121,6.61072935744627e-118
"PRSS53",-5.13179954447051,1.27335206007498,-31.8769455306728,5.65431081677636e-121,1.434781369757e-117
"BMP10",-5.82141582523808,-4.53255421958345,-31.6079579682573,8.94737862268264e-120,1.94605485043347e-116
"KRT4",-6.94054125711532,-3.92596194284212,-31.0561915329379,2.64874490830562e-117,5.04089265361913e-114
"FLG2",-4.94655130758431,-4.98926564169267,-30.1662838346011,2.75409413533403e-113,4.65900924560673e-110
"KRT13",-7.63796599696663,-3.29882051001185,-30.0483796683122,9.44049011990395e-113,1.43731462075538e-109
"KRT2",-5.52054028555687,-4.63831041492112,-27.7998792072022,1.97763732662551e-102,2.73722984526121e-99
"SPRR3",-6.1054845263642,-4.15070028584626,-27.7092557335907,5.20666618960444e-102,6.60595772806064e-99
"CLEC4G",-6.61146160393731,-0.767558057338724,-27.2891243877262,4.67439468110714e-100,5.47443530921971e-97
"LIPF",-6.18760136312037,-4.94230119008282,-27.2244559370515,9.35310178235143e-100,1.01714981883072e-96
"STAB2",-6.41693727610163,-0.803570387792812,-26.9150680742684,2.59549832616084e-98,2.63443080105325e-95
"CKM",-5.84104339647518,-3.14892544592736,-26.0790226852513,2.14240476580731e-94,2.03863203496352e-91
"KRT1",-6.26671737631791,-3.57267885834728,-25.7815756237155,5.36812890056773e-93,4.8076330888908e-90
"PNLIP",-6.76005098465263,-4.5662061278622,-24.8487173339156,1.36006161713297e-88,1.1503854511583e-85
"MYH6",-5.38119350438278,-4.55660488189269,-24.6954035875622,7.23536038247981e-88,5.79780851701342e-85
"CLEC1B",-6.58405485640249,-2.75741258030272,-24.6780699683618,8.74108452879458e-88,6.65415059754487e-85
"PLP1",-5.59506330884512,-4.19890901815607,-24.3246449168221,4.14117349159e-86,3.00235078140275e-83
"PTH1R",-4.84230289977217,1.63532996663034,-24.0965068494535,5.01307476381413e-85,3.4692756035941e-82
"CYP11B1",-5.04025379898145,-5.14721418881684,-24.0837209421496,5.76540380716742e-85,3.81644665061408e-82
"NXF3",-5.11547772538345,-2.8049807439939,-23.8768146256469,5.54544349341938e-84,3.51789071613792e-81
"FCN2",-6.28989846217051,-0.449145229044085,-23.4829638302125,4.14309186981227e-82,2.52314294871567e-79
"DEFA1B",-6.14210486485283,-3.90948573919714,-23.2829640561991,3.71139050372636e-81,2.17330463150899e-78
"BMPER",-5.06399484992917,-1.34385262738652,-23.0753798193293,3.61748224412633e-80,2.03985804321568e-77
"PADI4",-4.73778249534161,-3.38954394953487,-23.0006813045121,8.21051826871916e-80,4.46446930861604e-77
"ALLC",-5.19523217890696,-2.96404524519033,-22.8052926973902,7.01029309256842e-79,3.68040387359842e-76
"UBAP1L",-3.24565411821081,1.49971109641331,-22.5995353464542,6.71267013974765e-78,3.36841500156216e-75
"DBH",-4.68671337056999,1.56608746189037,-22.59757811604,6.85851330367337e-78,3.36841500156216e-75
"ADAMTS13",-3.63548327299367,2.99962448355309,-22.4928870680618,2.16558041737673e-77,1.03034255795502e-74
"KCNE1",-5.01616063740062,-1.87953554114945,-22.4861181685136,2.33271856915318e-77,1.07623152167749e-74
"CCBE1",-5.52595456616178,-1.14315141458168,-22.4405902740488,3.84627310232593e-77,1.72233847008565e-74
"ACTA1",-5.08752846222251,-2.25809665271778,-22.1943902229141,5.74976418731355e-76,2.50114742148139e-73
"PROK2",-4.77198715418771,-4.0081115862252,-22.1769231010977,6.96617635821419e-76,2.94611208482809e-73
"CTRB1",-6.15996433719727,-4.61587819854834,-22.1437530778227,1.00292404438378e-75,4.12689691236299e-73
"PGA3",-6.26632348935404,-2.92446730230812,-22.04577153779,2.94315331152103e-75,1.17919760968178e-72
"AMY2A",-5.82199817288113,-4.51502217887094,-22.0314376356023,3.44518641021165e-75,1.34494777167878e-72
"TIAF1",-3.23304060028056,1.99219243219869,-21.7124889603034,1.14616780500523e-73,4.36260120780115e-71
"S100A12",-4.85114770754806,-2.66734735044926,-21.6510433825007,2.25145848062053e-73,8.36059887010918e-71
"MYH2",-4.86211587227245,-4.78469768916068,-21.4447222846156,2.17246787614873e-72,7.87519605103913e-70
"CTRB2",-5.91409153652004,-4.11967186129611,-21.3465994213545,6.38418416924881e-72,2.26044660411193e-69
"CXCL14",-5.9042892917963,-0.0179072242191455,-21.0406436158205,1.83859430311254e-70,6.361954151111e-68
"RIC3",-5.21592257371207,-1.52020761897109,-20.9065139926615,8.01757030887017e-70,2.71261128783441e-67
"CLPS",-5.75216054394363,-4.76629701218652,-20.8665990682342,1.24260199840274e-69,4.11274248384385e-67
"DES",-5.23218553059867,-0.562062140666471,-20.8160170449233,2.16496870965067e-69,7.01311672434711e-67
"CPA1",-6.27349274275422,-3.63450325655747,-20.7710642125273,3.5457984477342e-69,1.12468294514069e-66
"DEFA1",-5.58782561694575,-3.41431495229519,-20.7335715891201,5.35057757808197e-69,1.66250089033261e-66
"CELA2A",-5.15448622716122,-4.88757459839977,-20.4055736586373,1.9535909083592e-67,5.94868431595376e-65
"PGA4",-5.46839180324051,-2.9530447856813,-20.0301513815509,1.1941972966129e-65,3.56503016488852e-63
"SYT9",-6.00964955681438,-2.21477512293769,-20.0250860605523,1.26228835236769e-65,3.69583464707655e-63
"PRSS1",-6.56613838855666,-3.99348686800046,-20.0176527413182,1.36929965059198e-65,3.93350701514393e-63
"HHIP",-5.61271603125828,-1.02894763022344,-19.6766370414347,5.70789733208125e-64,1.60930994223957e-61
"COLEC10",-4.77609563025949,0.131714307833015,-19.4952767545153,4.13880526300927e-63,1.14569654780575e-60
"HAMP",-6.80156934003216,3.33817469232494,-19.3942609145927,1.2465937532351e-62,3.38917676660791e-60
