"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ARHGAP6",-4.3281920259398,2.19296111787232,-53.3989516799187,0,0
"MYH7",-6.95933171166407,-3.18062660380481,-59.9010375636753,0,0
"IL1RL1",-7.21053411342386,2.3349175807703,-57.2790855125205,0,0
"TCF21",-5.70627173822919,3.02351968635964,-56.9013437407218,0,0
"ADRA1A",-6.81490063196304,-2.66123057443018,-57.4094846750591,0,0
"ADCY4",-4.23205082986356,3.42867614475094,-57.7360804818909,0,0
"ADAMTS8",-6.47487788045782,1.76337287262455,-56.0660243758306,0,0
"FCN3",-6.8808300377381,3.43932135777843,-65.7844547310585,0,0
"GPR17",-6.12135555684113,-1.2066827121973,-57.4123554585538,0,0
"PADI4",-6.03548322325915,-1.51305329815329,-55.4269484815843,0,0
"TAL1",-4.62580322541542,1.79621315459165,-58.6065586692045,0,0
"BTNL9",-6.64643550501806,2.83395081757363,-61.4348080740005,0,0
"CA4",-6.92452887221344,0.336347817603121,-54.6368962190982,0,0
"KANK3",-4.59644367247491,2.40879237256898,-60.0126325916485,0,0
"PEAR1",-3.9847606123203,3.22485724515972,-53.0142235667063,0,0
"DEFA1",-8.35608010528775,-2.18676383988579,-53.7088424537352,0,0
"DEFA1B",-8.94626627940927,-2.57998639250659,-54.613972422116,0,0
"ITGA10",-4.86342760023757,2.04340812647318,-51.8308701288863,5.93733508576801e-319,5.30072082928362e-316
"MYL2",-5.94569137972905,-3.84413881075645,-51.6493706389739,1.28081578027885e-317,1.08330050489651e-314
"TMEM100",-6.35676422756539,2.48019233936354,-51.6339590082644,1.66274729900867e-317,1.33601745475347e-314
"ADAM33",-5.02434843050869,1.80225382642791,-51.2113510052237,2.1541927309376e-314,1.64847034219825e-311
"VIP",-5.35093023663601,-2.49919340418443,-50.3983304901184,2.21532724380425e-308,1.61819585490611e-305
"PGLYRP1",-5.74119146254194,-3.63174172902919,-50.238107940192,3.41972449366507e-307,2.38934663535642e-304
"DES",-6.10168636592541,3.13350028181997,-50.23196433799,3.79830178092811e-307,2.54327956747978e-304
"GRASP",-4.1181667768924,3.56468651424335,-50.1238116346795,2.4132410647984e-306,1.55123135645241e-303
"PTH1R",-4.46545736888667,1.33613883274638,-50.0739598789636,5.66142377869474e-306,3.49919538937017e-303
"DEFA4",-6.35467768160197,-4.39053774829387,-48.9401413019504,1.6099260857542e-297,9.58204155484072e-295
"LGI4",-4.15744890635316,1.5044092098402,-48.8586870394911,6.55259854901773e-297,3.76072352438268e-294
"PKHD1L1",-5.70227427501256,0.234056353129328,-48.747853080855,4.42978453080472e-296,2.45471163482869e-293
"VIPR1",-5.12514382624937,4.29607544752802,-48.1367297519677,1.70845768391008e-291,9.15163832681165e-289
"GP9",-5.55738642598085,-4.05950401026496,-48.0389232312311,9.29261127816204e-291,4.81716978193755e-288
"FAM107A",-5.45539481093504,3.40986802568605,-47.891745965759,1.19053930997075e-289,5.97873959725935e-287
"ACTN2",-5.3168468129868,-0.533578768645735,-47.8822751625863,1.40297576747964e-289,6.83206684345386e-287
"ACTA1",-5.61587183094157,-1.9942529440509,-47.826888935424,3.66552064871299e-289,1.73249755367111e-286
"CD300LG",-6.78709130047966,-1.68241700713257,-47.7788313505922,8.4360846672084e-289,3.87336801720112e-286
"GRIA1",-6.3087527955244,-0.0485833180260069,-47.0127050985175,5.13513867673972e-283,2.2922688482002e-280
"SLC11A1",-4.67263841349085,5.36289097154705,-46.6603348784192,2.39509379214572e-280,1.04024749296708e-277
"USHBP1",-3.93561764808889,1.52966723775773,-45.884973234271,1.86024251267274e-274,7.86686767859235e-272
"DEFA3",-8.08471277023092,-3.29282870700489,-45.8508703685426,3.38214763788385e-274,1.39361827027675e-271
"IL18RAP",-4.50398727353788,1.06351134060222,-45.8352865399675,4.44474138171609e-274,1.78567485010444e-271
"SCUBE1",-4.91907769812519,1.46140174633159,-45.5299793281318,9.42629502981062e-272,3.69464783241602e-269
"NOVA2",-3.67248010666276,2.2053723551909,-45.26505259807,9.90926091282572e-270,3.79147197307403e-267
"HSPB6",-4.59236153706268,3.33779292385721,-44.7575093539173,7.52611806844995e-266,2.81266784558118e-263
"INMT",-5.42260945433191,4.32152002202605,-44.6042104748835,1.12335633614549e-264,4.1028037095132e-262
"IL18R1",-4.01273181471328,2.86697405498439,-44.5944479380871,1.33446405921108e-264,4.76551942922712e-262
"LIMS2",-3.91413006881116,4.43168208495432,-44.5909676076279,1.41895952636972e-264,4.95710425842641e-262
"PRX",-4.16333138021345,3.76679819371543,-44.5113887240442,5.77763569431898e-264,1.97545969378098e-261
"FOXF1",-3.88407391225266,3.36221641763217,-44.4243584527858,2.68464836250786e-263,8.98797899697945e-261
"STARD9",-3.99236584046888,3.43240979386256,-43.9589225317315,1.00290981060925e-259,3.28913482785524e-257
"TBX2",-4.16024983823973,5.1070212844478,-43.8614321229076,5.6296981290618e-259,1.80938497868046e-256
"LCNL1",-5.26963785066445,-0.979108204445676,-43.8456245262745,7.44729566378923e-259,2.34662826111947e-256
"SHANK3",-3.47757483717479,5.16031208785342,-43.6230411993908,3.83619633237776e-257,1.18553221271751e-254
"SLC6A4",-6.95943025770056,0.700681728229961,-43.4613542907734,6.73725944768964e-256,2.04278791178061e-253
"CLDN5",-4.62019202452472,4.87147683262117,-43.434112762773,1.09209259974378e-255,3.24998668108937e-253
"PPP1R14A",-4.00948319728158,2.87298252834238,-43.3622134179034,3.90880946610317e-255,1.14208305673233e-252
"RASGRP2",-3.90472842155877,2.89551015702703,-43.1045531981684,3.78422431327083e-253,1.0859372270404e-250
"CHRM2",-5.85837720710043,-3.08202311101431,-43.0743918994454,6.4652591681261e-253,1.8227493830138e-250
"MYO7B",-4.72698521189432,0.3277288340883,-43.05743108381,8.73782416039305e-253,2.42097990099166e-250
"NTRK3",-4.88104000119021,0.572280800701257,-43.002477967932,2.31907361810713e-252,6.31652763440366e-250
"ARG1",-5.85534878017611,-2.5268391809424,-42.6684167636045,8.79639544201898e-250,2.35596791255408e-247
"LCN6",-5.54552799484115,-3.05772180697422,-42.319884566211,4.35134604865094e-247,1.14633001642329e-244
"LRCOL1",-5.11859401299668,-2.65953584171012,-42.1604289419509,7.45560178083576e-246,1.93244388093598e-243
"PROK2",-5.54800868700976,-1.56688228385133,-42.156471381902,8.00046846094951e-246,2.04075441535649e-243
"MYOC",-6.25712716427124,-2.57884113338397,-41.9907722820305,1.53488818437623e-244,3.85400830045719e-242
"NXF3",-5.23894444318018,-0.609099241044203,-41.2743046556732,5.52264659889612e-239,1.36536816683478e-236
"LYVE1",-4.22813280802716,2.93505642844041,-41.2505275817826,8.44822729621088e-239,2.05701534318347e-236
"STARD8",-3.47587301380279,3.61450941770894,-40.8779233238573,6.63303420946988e-236,1.59093820516688e-233
"ABCA9",-4.22220698981172,1.86550593411314,-40.8500791930223,1.09190043017793e-235,2.58041763425873e-233
"ELANE",-5.98146247346635,-2.50891062551672,-40.6779113522556,2.38280272356691e-234,5.54951300981454e-232
"ADGRG4",-4.84872470258131,-4.74270086535633,-39.944968245145,1.21458450701234e-228,2.78833900395547e-226
"HSPA12B",-3.45070646674413,2.8611063758274,-39.6866298667149,1.2552791465763e-226,2.84117406837764e-224
"NPR1",-3.92565325349924,3.50572489623894,-39.6729644637006,1.604456765337e-226,3.58105836374523e-224
"CMTM5",-4.78771851725667,-3.06359460754486,-39.6555933325482,2.19192076560226e-226,4.82522831551072e-224
"TEK",-3.71098969057877,3.4944430981229,-39.6303953697506,3.44652947424399e-226,7.48455792582446e-224
"FHL1",-4.56570148097247,5.30244649034384,-39.4587392256999,7.52839271436698e-225,1.61308361226503e-222
"AGTR1",-4.55018044868827,0.518242900275722,-39.416628449188,1.6045267610909e-224,3.39272961193827e-222
"ASPA",-4.44408551662114,-0.140541840634642,-39.4032503001082,2.04061252407536e-224,4.25878483920662e-222
"PRTN3",-6.06934473611423,-3.32712924711427,-39.3051080866972,1.1907922131285e-223,2.45333729038142e-221
"HEMGN",-4.86111340838843,-3.84133655826108,-39.1301573736047,2.76612537521229e-222,5.62678921261539e-220
"ABCA8",-4.72361119425859,2.55344543853894,-38.9724699461088,4.71572010624362e-221,9.47270276341687e-219
"ANO2",-3.96807193127892,0.0482375719047103,-38.8582878729587,3.67837217006374e-220,7.29770873739806e-218
"MYZAP",-4.16969720604776,2.32915977089014,-38.7856496332227,1.3592025984764e-219,2.66370558018485e-217
"PTGIR",-3.91964934958643,2.70535376943257,-38.6455193582799,1.69257229143079e-218,3.27706466545697e-216
"CORO6",-4.34083491106688,1.81496400830681,-38.4205719975866,9.71231897590295e-217,1.8580591183662e-214
"RS1",-5.27869229787528,-2.7589696349676,-38.3875184652936,1.76121773955142e-216,3.32973753818722e-214
"ATP1A2",-5.02021666984734,0.531433083863544,-38.1796636433501,7.4409466221505e-215,1.39041874672045e-212
"NOTCH4",-3.46712770811245,4.88655337342104,-38.1180187849762,2.25895811467908e-214,4.17258125320608e-212
"ERICH4",-4.20388866191478,-4.07588587347619,-37.8941108912654,1.27649962035661e-212,2.33106237490122e-210
