"","logFC","AveExpr","t","P.Value","adj.P.Val"
"GPRASP1",-6.4567710342402,2.56188514708683,-65.488961780513,1.55460521751052e-250,2.52903176784611e-246
"ABCA10",-8.0032302792593,0.0734632507778529,-60.111583209198,9.47941645327383e-234,7.71055734309293e-230
"ABCA8",-7.44933293337523,1.673394415024,-52.3548197034168,1.91852820071972e-207,1.04035389231028e-203
"GOLGA8M",-7.56007175124416,-3.67999218501959,-51.307941960545,1.09763746979541e-203,4.46409158965794e-200
"CACNB2",-5.22569974244395,0.685039153896444,-50.8777086095163,3.97883228736944e-202,1.29455287301852e-198
"SYTL4",-5.35181826220908,3.44092769292267,-50.5383624339428,6.85352507008404e-201,1.85821909733545e-197
"ADRB3",-8.64805400902219,-2.50884918715227,-50.4151688228284,1.93220447093301e-200,4.49044319044832e-197
"TSPYL2",-5.37050113726997,5.27743718739583,-50.2459377731356,8.04648653463407e-200,1.63625303681784e-196
"ABCA9",-7.00695594748599,1.13160811381866,-49.8908136218652,1.622681257093e-198,2.93308652115433e-195
"PROK1",-9.49115521754714,-0.564567864219467,-49.2863493171734,2.78634683032675e-196,4.53282902357555e-193
"SCN7A",-8.42903785727027,0.517138376315303,-49.1012931072479,1.35771547380393e-195,2.00793775707658e-192
"GSTM5",-7.53272596057268,1.3074210037717,-49.0337606544504,2.42224867068265e-195,3.22103176236956e-192
"ANGPTL5",-8.47033074243275,-3.64756544359808,-49.0266766352928,2.57397423843154e-195,3.22103176236956e-192
"HLF",-6.57340702814711,1.36007115535674,-48.2787866506694,1.62274165883232e-192,1.88562580756316e-189
"WFIKKN2",-10.2535892851952,-0.334817619882588,-47.4303076898643,2.63234646456582e-189,2.85486748570378e-186
"RPS4Y1",-5.07447248886559,-5.82980051877901,-45.98207549504,9.63857228280277e-184,9.80001836853972e-181
"ABCA6",-6.63779566117855,1.06570362896354,-45.6351067359551,2.15267605857502e-182,2.05998436005285e-179
"PRRT2",-5.84119871807678,2.73016847270191,-44.3117434302855,3.43264450182122e-177,3.10234781975709e-174
"GCKR",-6.50688665125269,-1.68313338868979,-44.2987860356684,3.86387907531547e-177,3.30829393669642e-174
"ZNF540",-5.07095317071425,0.275917279452586,-44.2266992405144,7.4664294710985e-177,6.07319373179152e-174
"STARD9",-4.89868389302456,3.03029393007121,-43.9155732552515,1.29128173331141e-175,1.00031291607191e-172
"PLA2G5",-7.02604256978713,0.342538399325446,-43.4612965385729,8.46653744262494e-174,6.26061959621012e-171
"STXBP5L",-7.1106886241899,-1.05649259340006,-42.980573662668,7.27953821073838e-172,5.14884902662139e-169
"GOLGA8N",-4.62352785613646,2.56311432785864,-42.2912538784245,4.54399116977572e-169,3.08006868124631e-166
"CSDC2",-6.50151900300986,2.73623335099765,-42.2657781285123,5.77078915380918e-169,3.75516791816671e-166
"STAR",-10.1847579730412,1.54054340075366,-41.9926928526588,7.51759145788932e-168,4.70369914757475e-165
"AASS",-5.84273384772345,2.09164648354648,-41.9043733630842,1.72779903518458e-167,1.04103091497714e-164
"PLIN5",-6.67994378625461,1.70706517564602,-41.685650344765,1.3625271279656e-166,7.91628261348015e-164
"ACADL",-7.37440771901361,-1.38944382307265,-41.4427766211647,1.35909371020336e-165,7.62404706123732e-163
"LAMA2",-6.00417394012121,3.61482568265339,-41.2336275380829,9.90839748314894e-165,5.37299367519556e-162
"KRT8",7.55561197574653,9.09563360571295,40.8130063849748,5.4734711024458e-163,2.87233638369639e-160
"ARMCX4",-4.21470549810212,3.22571373201546,-40.706342156722,1.51915442162132e-162,7.72300129091739e-160
"SLC22A3",-6.89227321881465,-0.030122352116114,-40.6024529366775,4.11150010351535e-162,2.02684496012084e-159
"CMYA5",-5.89212332774298,2.80686146047631,-40.5427702113175,7.28905609690129e-162,3.48759895836442e-159
"SERPINA10",-6.62489421374764,-4.43581837064988,-40.0889194645789,5.75429388896323e-160,2.67459579959011e-157
"SLC1A7",-6.19831365965582,-1.59611290578056,-40.0025044730624,1.32592283678488e-159,5.99169797467123e-157
"CACNA1H",-6.27217530736146,3.69190151850219,-39.9755424602074,1.72072630716858e-159,7.56561501757257e-157
"RHBG",-7.91676645439477,-2.04338080175915,-39.8257709589234,7.3318147066803e-159,3.13878846442829e-156
"ASIP",-6.48192189678354,-2.03664692645476,-39.5630075023094,9.38800363466624e-158,3.9160011058654e-155
"TDRD10",-5.58141462144604,-0.629565935881085,-38.595243741406,1.21180564753769e-153,4.92841356853577e-151
"PEAR1",-4.3671827053673,2.30319194564021,-38.5238606221063,2.44722249102638e-153,9.71010133756517e-151
"C4BPB",-8.57476949279014,-1.73802951568787,-38.3818850096204,9.92197716810908e-153,3.84311248978092e-150
"SYNE1",-5.02712899949397,4.63554335194194,-38.0932916506607,1.72070480066848e-151,6.5098664412267e-149
"VIT",-7.67646416664406,-1.39817321793793,-38.0012092665732,4.28574175792676e-151,1.58455561177165e-148
"FGF10",-7.62749347028189,-3.04169962293509,-37.6347338915676,1.63640957828828e-149,5.91580244879861e-147
"GOLGA6L4",-4.8643575208672,1.54400147249174,-37.0879738327988,3.86809621241239e-147,1.36796063442445e-144
"CHST7",-4.47382541462555,1.96606681052387,-36.9036681529061,2.4618330449595e-146,8.52108510114919e-144
"SCUBE1",-6.98752204901952,1.263841204289,-36.5020343029687,1.40978106428594e-144,4.77798299037576e-142
"DUSP26",-6.55903506960838,-1.07635753037251,-36.3781035424157,4.93554512116433e-144,1.63860098022656e-141
"SIGLEC16",-6.26073885230538,0.30692045762684,-36.0845794000214,9.67172681199749e-143,3.1467930355515e-140
"GRK5",-4.14065632830873,2.67813263416758,-35.9767140581478,2.89412721219205e-142,9.23169833096867e-140
"FOXL2NB",-8.59616472493936,-0.0626444503383852,-35.7196180785078,3.96830151055587e-141,1.24146786487928e-138
"IZUMO4",-4.59974849145993,0.947165747170623,-35.6764684755397,6.16302144816889e-141,1.8916987343172e-138
"NR1H4",-8.13927531630798,-3.14749739740045,-35.487379389482,4.25391891620606e-140,1.28153246164519e-137
"CCBE1",-6.28767547158849,0.790052168275686,-34.982734222061,7.53754161396e-138,2.22946776319821e-135
"CASP12",-5.83936494437678,-2.96344345840896,-34.8883604900843,1.99162801007659e-137,5.78567936927249e-135
"KRT18",6.42092022761339,8.71594800365683,34.5367762680282,7.50580897121175e-136,2.14218421655566e-133
"GP2",-7.10365428057149,-5.2431253229693,-34.3711321531386,4.17106147000127e-135,1.16991082748243e-132
"FGF2",-4.65573103166138,1.50712489864945,-34.3523525794927,5.06737424858732e-135,1.39722108942404e-132
"AOX1",-5.49043967726914,2.57870124405447,-34.1184333290146,5.74531808888432e-134,1.5577472444995e-131
"CHRD",-4.83511731765946,2.16574368804166,-34.0390291844757,1.3119679407708e-133,3.49886794433761e-131
"GPR78",-6.31413495688715,-0.331597197778741,-33.761753638065,2.35902067892363e-132,6.18976587173058e-130
"KIAA1755",-4.89450543649594,0.670777800748597,-33.7457333278323,2.78838620439015e-132,7.20023282111413e-130
"CLDN3",12.0973562329718,7.07718029349127,33.6854618075232,5.23222425535581e-132,1.32996600290825e-129
"PNLIP",-6.86901336446473,-5.34756136141538,-33.6643536644197,6.5231402800293e-132,1.63259147808487e-129
"GRIP2",-5.00986130388676,0.690282877768584,-33.6493910332619,7.62707444811688e-132,1.87995828972675e-129
"DPY19L2",-4.98347609430703,1.42821847489859,-33.5567971465808,2.00821460046304e-131,4.87606494333324e-129
"MAMDC2",-5.24532737719556,2.50792696095259,-33.5015385076949,3.58046320113577e-131,8.56573167001127e-129
"TPSG1",-5.78783509392493,-4.45468027835305,-33.4081195450147,9.52462159766917e-131,2.24560208914322e-128
"SIGLEC11",-6.64795137461121,1.13413522434751,-33.1580209052818,1.313990502142e-129,3.053713926978e-127
"RNASE4",-4.27750160061492,3.34228442642491,-33.0776473579131,3.05874805685048e-129,7.00841033645685e-127
"TMEM150C",-3.96332103518316,2.33597113022271,-32.9578872293744,1.07875743404106e-128,2.43739249124721e-126
"CLDN4",8.723208380551,7.32568880625783,32.9237672099035,1.54527761290892e-128,3.4436405762743e-126
"ANKRD29",-4.51005080215223,1.08637400786151,-32.8222257115898,4.50668079247217e-128,9.90738961242396e-126
"ARX",-9.13255720065832,-0.622243910774064,-32.777530942392,7.2215542518083e-128,1.56640326091223e-125
"GOLGA8R",-4.89120872319191,-0.51489706760919,-32.5049585199631,1.28710144909854e-126,2.75507452288619e-124
"GPRASP2",-3.70025752495197,2.97782067310069,-32.4113989772897,3.46625590565148e-126,7.32325338612185e-124
"ITM2A",-4.47923080459928,3.22519244669424,-32.087210495375,1.08151866454629e-124,2.25565969677423e-122
"ARHGAP6",-4.44375957308092,1.97201661711045,-32.0424045758372,1.74160124413181e-124,3.5863758277894e-122
"HMGA1",6.69644364976125,7.99360150169098,32.0375088657774,1.83469199028651e-124,3.73084616224761e-122
"CPED1",-4.62084288484845,2.83626396716618,-32.0259295444324,2.07517838688182e-124,4.16777802441895e-122
"MPPED1",-6.71224770858178,-3.76512784875711,-32.0131044989381,2.37853823183134e-124,4.71878779944296e-122
"FAM153B",-6.01587534986514,2.29042621526182,-32.0013935110995,2.69416778143104e-124,5.28056885160485e-122
"MAP3K5",-4.09174445815807,4.13124378729791,-31.9979535461985,2.79461127544889e-124,5.41223050345269e-122
"DIO3",-6.17109904004579,-0.716430508633461,-31.9698784131931,3.76776485649996e-124,7.21105866888722e-122
"LCN6",-6.40612439750706,-3.20354919381807,-31.8048132497424,2.1866759334932e-123,4.13637721931015e-121
"MCF2",-6.19310886567748,-2.38988916315121,-31.7578097300825,3.60990023098636e-123,6.75009850088345e-121
