"","logFC","AveExpr","t","P.Value","adj.P.Val"
"BRSK2",-6.692200684806,3.72189308005641,-38.3663720217589,1.0863802482673e-126,1.64271557340499e-122
"PLIN5",-6.61614339515865,3.76875711837904,-36.4039032513535,2.18291001002775e-120,1.65038911308148e-116
"ANKRD62",-6.46676505356045,-2.58605212797045,-35.9272980656934,7.94818863123e-119,4.00615200976096e-115
"RBPJL",-12.070346055135,3.95935932278747,-35.6643339344179,5.84560732564582e-118,2.20978570927726e-114
"AQP12B",-10.5125399608711,3.56088132862053,-35.4314549085629,3.44608494235527e-117,1.04216500826708e-113
"BEGAIN",-4.859178972678,3.09231832672156,-33.7831518200251,1.18597989213411e-111,2.98886699149333e-108
"MYH7",-7.11177294490543,0.0183653543918397,-33.4770191210602,1.3138917487513e-110,2.83819387612405e-107
"S100A6",4.93701705532079,8.05783726951415,32.7834237627697,3.19047501172072e-108,6.03039658152862e-105
"MKNK1",-3.61453871792301,6.12327068026995,-32.2713433649876,1.91306518437412e-106,3.21416207254678e-103
"TMEM52",-6.58078654645742,3.2285804564529,-31.752432916106,1.25286882715923e-104,1.89446295354747e-101
"GOLGA8B",-5.24424164039306,7.34369031513529,-31.5976553006507,4.39003223486597e-104,6.03469794758258e-101
"ARHGDIG",-6.64845078905667,2.5340271534167,-31.2428825684808,7.863403956563e-103,9.90854426893243e-100
"FER1L5",-5.59065089823288,0.126019522051161,-30.1476745430273,6.4171606077121e-99,7.46414504224729e-96
"ACADL",-5.92340185452818,2.52955703725239,-30.1171476043043,8.26622454234126e-99,8.92811295033873e-96
"PAIP2B",-4.73855427194577,4.71549094106819,-29.911020978623,4.58284523839101e-98,4.61981352331404e-95
"FLG2",-5.5058221659298,-3.09817113520762,-29.2340958653693,1.31817708201623e-95,1.24575972857296e-92
"SLC43A1",-4.27131574188531,5.90267291260183,-29.1850089374336,1.99173021993132e-95,1.77158545032832e-92
"P2RX1",-5.4688393821695,3.90106761391304,-28.835409474355,3.79857106331318e-94,3.19101072490881e-91
"PRODH2",-6.46424706512197,-1.06900240681785,-28.7008265204124,1.18646319970959e-93,9.44237370674141e-91
"BHLHA15",-7.95905086952756,2.54767477765023,-28.5892875189037,3.05436585082282e-93,2.3092533015146e-90
"CECR2",-4.84160328123122,1.33314854227019,-28.4436081909333,1.0526288708641e-92,7.57942912206476e-90
"EPO",-6.36584558800079,-1.13207209958342,-28.3013998684859,3.53104681670418e-92,2.42695267797199e-89
"CUZD1",-8.89857830815099,6.96214174525304,-28.1569126380271,1.21071284141647e-91,7.9596473369819e-89
"NPAP1",-6.04293829283656,-2.53140261069313,-28.06948578732,2.55490169712329e-91,1.60969452342505e-88
"ALB",-7.6623235653867,5.35545595794453,-27.9682977453315,6.07093402880491e-91,3.67194373798236e-88
"PDIA2",-8.25999983599,6.09140902857487,-27.711842147387,5.47378128987111e-90,3.18342488015927e-87
"CCDC155",-6.02041828808459,-1.70496753798272,-27.6866032681668,6.79923531631064e-90,3.80782360066419e-87
"NPHS1",-6.35089945340296,2.4688699958937,-27.6357226279282,1.05295167864181e-89,5.68631511883672e-87
"KLF15",-4.41063514279892,3.87551192701533,-27.4912645966899,3.65112913451079e-89,1.90374909113578e-86
"FBXW12",-6.60063127779377,-0.942679372869189,-27.4526558600316,5.09257307610049e-89,2.56682658279052e-86
"KIRREL2",-5.68637795167394,3.8893391410556,-27.4346230387273,5.94920780901755e-89,2.9018700412953e-86
"ANKRD53",-3.94031729290288,1.09178092877479,-27.3353451866746,1.40117236328408e-88,6.62097728288081e-86
"PNLIPRP1",-11.5679992904358,6.74960326948208,-27.1049932242198,1.02717004587152e-87,4.70661765564343e-85
"PDCD4",-3.49152151791573,7.9190239105617,-26.7996723711815,1.45375607009069e-86,6.46536633407098e-84
"SERPINI2",-9.32295005825535,3.80290309648009,-26.7790601128056,1.73921820039399e-86,7.51391954518786e-84
"CTRL",-9.00849946046559,5.83460525211003,-26.6228447953637,6.77865812082497e-86,2.8472247068054e-83
"IGFN1",-6.51733253681636,3.14926120448336,-26.5682125720585,1.09154863507682e-85,4.4608937597288e-83
"CRNN",-6.264017844204,-3.42410304031024,-26.5078876026568,1.84787759141116e-85,7.19385617198525e-83
"BNIP3",-4.73407301517973,6.47360523553672,-26.5074200683187,1.8554354256162e-85,7.19385617198525e-83
"ADHFE1",-4.05355188800676,3.15367906750005,-26.3418748455164,7.88466201241713e-85,2.98059935724398e-82
"AQP8",-9.05220148647747,3.50689034500232,-26.3022618969607,1.11515671361048e-84,4.11275235768391e-82
"SPX",-8.00711477153367,1.09530039575155,-26.2872783167031,1.27145924337018e-84,4.57755600452392e-82
"VIPR2",-5.34019305549181,2.35994718476569,-26.0716231528416,8.4220787386593e-84,2.96163378156436e-81
"RNPC3",-3.11082723799811,4.56879242954333,-26.0203619433528,1.32108324491491e-83,4.5400226696269e-81
"UMOD",-6.81992817865041,-1.27363927096026,-25.6696486502158,2.89690084976428e-82,9.73423061095237e-80
"PTF1A",-8.66869886591857,0.832164234711008,-25.5619614655742,7.4965788961504e-82,2.46425585844979e-79
"SLC39A5",-6.3537543604302,5.20248109501271,-25.49446583853,1.36130291188092e-81,4.37963007033009e-79
"CCDC110",-4.10462738152682,1.56716724325248,-25.4243741218058,2.53068063358442e-81,7.97217122092291e-79
"AQP12A",-8.86447074432592,1.55381440839901,-25.3905426616038,3.4142473123327e-81,1.05360884917924e-78
"C10orf71",-6.38218162158394,-2.56798421865422,-25.3803536276321,3.73658535260355e-81,1.13001814233437e-78
"COL1A1",5.08652524597206,9.50191697395194,25.2310238072453,1.40360419092229e-80,4.16154881783058e-78
"SLC2A14",-5.66706036931072,0.316686437910487,-25.2005416455494,1.83948669825418e-80,5.34901507005798e-78
"TRIM50",-7.22865877758732,1.07777927968234,-25.1241714955917,3.62366791695469e-80,1.03383929381645e-77
"SYCN",-11.1020694757996,5.7728723259109,-25.0033658808909,1.06039529215215e-79,2.96930318752456e-77
"IZUMO1",-6.03725703093289,-0.934684659262632,-24.9096644352878,2.44128140218229e-79,6.71174837861789e-77
"TPST2",-3.9906944996186,6.75744287543182,-24.8865485384891,2.99930105479483e-79,8.0986484374201e-77
"GLS2",-5.1625221355394,3.33917480647918,-24.7982407992438,6.58834310686454e-79,1.7477602827877e-76
"GOLGA8N",-3.40429826995573,4.76869733780097,-24.6462104376141,2.55832175454956e-78,6.66972125009376e-76
"TTN",-3.61305682922472,3.8488736624545,-24.6185421559845,3.27559874960994e-78,8.39497096489014e-76
"COL1A2",4.61947203992816,9.17880526257062,24.4595646652252,1.35728975855649e-77,3.42059640652211e-75
"WDFY2",-2.6851415971229,5.20027217055713,-24.4342257234795,1.70285151513079e-77,4.22111766562176e-75
"LHFPL5",-5.16995258680228,-0.36690403012667,-24.324981601194,4.53081559925697e-77,1.10500746252201e-74
"MAT1A",-5.90071985244414,2.56472424572166,-24.1293333807127,2.62176314100122e-76,6.29264769128245e-74
"GDF10",-5.49252391015215,1.09356887388546,-24.0058010783714,7.95819566852408e-76,1.88024807349614e-73
"HPN",-5.3121284618077,5.38006492645338,-23.9615279355663,1.18520690370264e-75,2.75715593705962e-73
"PEX5L",-5.83681655257315,0.74220897685676,-23.7431250016455,8.47804468065914e-75,1.94237141842798e-72
"GUCA1C",-8.23990710059188,-0.555960587369241,-23.7278780511881,9.72796376604649e-75,2.19547074785655e-72
"NBL1",3.43999905655924,6.49123914017457,23.6656998618767,1.7048531544982e-74,3.79104184546577e-72
"COL3A1",4.69968294587092,9.26862456596026,23.6232328670772,2.50147733005596e-74,5.4818606822864e-72
"EGF",-6.71318464976348,2.81384664369249,-23.5467444937428,4.99209105057815e-74,1.07836298251132e-71
"PRR35",-5.6497003544048,-3.04298617155725,-23.5108277419251,6.90675800825268e-74,1.47094489919421e-71
"ACTN2",-3.88019280735343,0.251318505940172,-23.487532585635,8.52603092544699e-74,1.79058491144005e-71
"AOX1",-4.7648753715071,5.33556774066199,-23.3371887004789,3.32360728845832e-73,6.88441997380524e-71
"SLC1A2",-5.60207803047179,2.79965309681474,-23.3318582173305,3.48798818681069e-73,7.12727964496817e-71
"CLPS",-11.8674154447556,8.07624806440116,-23.2780005126618,5.68151115215057e-73,1.14546840175558e-70
"PLA2G1B",-10.5589660685275,7.61060080262098,-23.2275853972185,8.97241681386727e-73,1.78515677161167e-70
"SLC25A45",-3.59287555429684,4.20682938652245,-23.1174928339153,2.43553632229867e-72,4.78282399084133e-70
"ERP27",-5.9811123586403,5.42580954353259,-22.9869478666094,7.96959128919893e-72,1.54497679338432e-69
"CELA3B",-11.5010039242936,7.80568708009025,-22.9597469904173,1.02044573806559e-71,1.95318481079618e-69
"CPA4",-5.03313320313603,1.64996942890085,-22.9367428895875,1.25777090323606e-71,2.37734422847906e-69
"KSR1",-3.52441221946356,6.04244834608862,-22.9343710907294,1.28518493140787e-71,2.3991705367677e-69
"ADAMTS17",-3.55952095612109,2.13333457431861,-22.8861169301768,1.9930678739087e-71,3.67526577089921e-69
"PSMD6",-2.75717779054582,6.55435813946416,-22.8301848721374,3.31515995814591e-71,6.03958237676196e-69
"CBFA2T3",-3.57570105442768,3.94838415197074,-22.7145926657455,9.49630676105759e-71,1.70944826826133e-68
"PNLIPRP2",-10.3033712874771,6.45705379890075,-22.6796284266525,1.3058596686256e-70,2.32304753521031e-68
"FITM1",-4.21358278709384,0.555344819502138,-22.6217507740816,2.21306151524125e-70,3.85285856347832e-68
"CYP11B1",-5.99578909180078,-3.73028586806176,-22.6215668230546,2.21677597396081e-70,3.85285856347832e-68
"LPAR3",-5.15982994113729,1.10772712051561,-22.5888632513852,2.9869245080152e-70,5.13241880519294e-68
"GSTA2",-7.06589497615713,3.18215276097464,-22.5395526574584,4.68337304022113e-70,7.9569981731667e-68
"CERS4",-3.42416097904033,4.69935052026226,-22.5067351461573,6.3183766675175e-70,1.06155748432813e-67
"SPARC",3.61857247285388,9.00745033588629,22.5041780720474,6.46755372644602e-70,1.07467999887462e-67
"EPB41L4B",-3.90267253000937,6.32169957001356,-22.4783141559285,8.18954716597252e-70,1.3460232901812e-67
"ABCA5",-3.18757268275636,5.5020905509929,-22.4401881874529,1.15991410682388e-69,1.88592056013805e-67
"IGFBP3",4.30725474343568,6.2316619930838,22.4371347286753,1.1927094115022e-69,1.91861266077923e-67
"GNMT",-8.35741404996241,3.24210408265171,-22.4339281115569,1.22814930739863e-69,1.95482586075523e-67
"MYH6",-5.56314141800847,-2.14392247436323,-22.3547257504362,2.53194879109095e-69,3.98808309063398e-67
"ATP4A",-8.72922555195987,-0.966798919383538,-21.9824052921871,7.64266360322621e-68,1.19138882829261e-65
"TECPR1",-3.20633250481388,6.62644882675447,-21.9648481228846,8.97707484324557e-68,1.38512600719098e-65
"CAMK2N2",-4.58406266396856,2.11170923077351,-21.922456653665,1.32410548118711e-67,2.0224039374778e-65
"C2orf27B",-5.89064616890652,-3.3069751862507,-21.9029193629289,1.58391455517412e-67,2.39503719887878e-65
"SARDH",-3.79142127547998,3.55091142260137,-21.838917916815,2.84908473786483e-67,4.2422489815028e-65
"FGL1",-7.29631625776398,4.18442390150483,-21.838438489591,2.86164536811907e-67,4.2422489815028e-65
"RIC3",-4.23727147747171,3.05118531014645,-21.7961083190409,4.22009798871682e-67,6.1953496783871e-65
"CELA2A",-11.2557760620897,7.42156866285432,-21.7252518093424,8.08799100483464e-67,1.17594723061639e-64
"C5",-3.54957895053331,3.65138023202779,-21.6821053131808,1.20211612051788e-66,1.73116170079532e-64
"ACSM6",-6.21098729994732,-2.31533470521988,-21.5840549812472,2.95976766895707e-66,4.22213650210376e-64
"AMY2B",-7.07941554892783,7.97819202914469,-21.5691724393282,3.39372628387504e-66,4.79593786340882e-64
"KLK1",-7.27054639124577,7.0727127473856,-21.5498986011694,4.05170479227402e-66,5.67276186703476e-64
"MAATS1",-3.4627861583402,3.47189198876195,-21.4879692675647,7.1613398246508e-66,9.93455224665548e-64
"MATN4",-5.10478842294544,-0.101782356758628,-21.4250790685643,1.27731499117441e-65,1.75584363468621e-63
"APOL1",4.01609394865729,5.73953875754406,21.3259399068288,3.18177205212596e-65,4.33437614416187e-63
"KRT19",4.76582346451135,7.4170982815279,21.3243367798762,3.22909443995323e-65,4.35956580594043e-63
"SPSB4",-4.77407049919321,1.74571977897342,-21.1169925330889,2.18232466805416e-64,2.90990449185992e-62
"RBM20",-6.75126049430213,2.23729871808679,-21.1164223038988,2.19383051433127e-64,2.90990449185992e-62
"CHAD",-5.2036371613662,1.74451998869204,-21.0971390738219,2.62080860069472e-64,3.44602146531346e-62
"INPP5J",-3.17338117154879,3.08057139738425,-21.0717895424283,3.31114469121678e-64,4.31619128240421e-62
"CELA2B",-9.83864640785191,5.17735826730032,-20.8383081356687,2.85741145928438e-63,3.692899032123e-61
"OGT",-2.60958086317561,7.90249645961903,-20.7663079955673,5.55737838818504e-63,7.12145072947e-61
"MDK",3.5802171713009,5.47463289415017,20.7442433113327,6.81439024011531e-63,8.65885670762888e-61
"GJC3",-4.39516672052713,0.0901750910799301,-20.6848860796363,1.17953866974912e-62,1.48631701877304e-60
"FN1",4.43675264188758,8.74244262061181,20.532689290409,4.81995735421033e-62,6.02335331843094e-60
"GRPR",-5.27992762743533,-0.0883422035059693,-20.4875399830426,7.31961712691624e-62,9.07212545705741e-60
"LGALS3BP",2.74981165035702,7.79792429183672,20.4832746770115,7.61433260507198e-62,9.36067669278808e-60
"ASB14",-2.99873313157117,-0.133628832740577,-20.4062359938174,1.5535849284892e-61,1.89449658900686e-59
"NRG4",-4.05239075902654,2.28006697421486,-20.3388859209946,2.89857406706709e-61,3.50634707744972e-59
"MISP",6.40553878907191,3.22907595031184,20.3085965309732,3.83726651682952e-61,4.60502436515708e-59
"CLCNKA",-4.27320320667313,0.265483794055579,-20.3052387606392,3.95848945642159e-61,4.71309598980716e-59
"SLC6A16",-3.71020680152968,1.10152661588837,-20.2140718229649,9.2119701239646e-61,1.08823593940991e-58
"DPP10",-5.14009974202711,0.800366144517937,-20.0679245405602,3.57030421354171e-60,4.18500542736156e-58
"PRSS3",-6.19874267654017,8.08528100463061,-19.978486164413,8.18350265072529e-60,9.51867258320132e-58
"SLC38A3",-5.08725356267794,3.31946660898243,-19.952574067669,1.04071124495525e-59,1.2012667736617e-57
"GP2",-10.8893885322015,9.69331192535822,-19.9388373633499,1.18215661781854e-59,1.35419622863895e-57
"CRIP1",4.86959340335513,4.22934919075339,19.9121464094907,1.51432959579974e-59,1.72166750511939e-57
"SULF1",5.2234058708328,5.35840573733081,19.7201282086161,8.99964670794263e-59,1.01554968560299e-56
"MCOLN3",-3.92865181282091,2.86641121192349,-19.7019024792061,1.0659044427524e-58,1.19389193176734e-56
"IFRD1",-2.69760414931929,5.97559730925811,-19.6811943096777,1.29189299030809e-58,1.43637602253299e-56
"DPEP1",-4.24291282810528,5.80096177143457,-19.6671364454912,1.47204074187679e-58,1.6247246757605e-56
"SYPL2",-3.23023882894656,1.6002366427741,-19.6192941033988,2.29551396170011e-58,2.5152512039759e-56
"CPA2",-10.3562239554572,8.17808476107167,-19.5963682539329,2.84024502847392e-58,3.08973705579526e-56
"GPR150",-4.22610488482071,0.527850925623776,-19.5955227821486,2.86263717657447e-58,3.09185262478447e-56
"POSTN",6.03932909724634,4.85695669811231,19.5807555934047,3.28349384546685e-58,3.52125605938328e-56
"GPT2",-3.58832264403674,6.09434716775768,-19.5673167290838,3.72006070497137e-58,3.96134069858255e-56
"HLA-A",2.84623472312757,8.71147103143745,19.5156759194359,6.01027746107073e-58,6.35534304117836e-56
"NRTN",-3.40098449284843,1.3281766075148,-19.4700210962315,9.18573962172756e-58,9.64566450139878e-56
"GATM",-4.72856751023118,8.46735799330627,-19.4643598209636,9.68187106510411e-58,1.0066172786069e-55
"IFITM5",-5.82179385918969,-2.90244696189743,-19.4639441397548,9.71933884509011e-58,1.0066172786069e-55
"PKM",2.5743906558483,8.72396824330452,19.4551735269825,1.05445937193505e-57,1.08465851449183e-55
"MMP11",7.41750648412995,4.61843060485761,19.3839712282379,2.04357976687807e-57,2.08790335506508e-55
"AMY2A",-11.2057152207015,7.90133472899109,-19.3752151628578,2.21683508593254e-57,2.2497156600259e-55
"CEL",-10.2831850643541,9.91312576591234,-19.3429403379733,2.99233164144907e-57,3.01646978335676e-55
"MAP6D1",-2.82413307722055,1.43423596609127,-19.2963227005732,4.61528188923729e-57,4.62170049318921e-55
