"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ADHFE1",-6.1029071085221,1.59350518937266,-47.9504489323368,1.9391994803643e-205,3.08080621445477e-201
"PLIN5",-6.79342504739981,1.50118778442877,-40.025087780186,3.48350609751824e-170,2.76712306856361e-166
"GSTM2",-4.37269147322487,4.22217046890354,-35.0808398084696,1.77167735836755e-146,9.38221273079508e-143
"ACADL",-6.07266715898727,-1.01141185141667,-31.513018448504,1.30706931491331e-128,5.19135255150695e-125
"LCN10",-5.78359387186948,0.0951234654753917,-30.1176213211639,1.80233327472303e-121,5.72673374710496e-118
"LCN6",-5.67783765727544,-1.65115762105977,-29.7370936590948,1.64330199415105e-119,4.3511897968463e-116
"CORO6",-5.01274956797549,1.22491920703688,-29.4593646715033,4.46062530096659e-118,1.01237077366366e-114
"TSPYL2",-3.67958728832277,4.87561360122575,-29.1411920719125,1.97285232178844e-116,3.91783810453163e-113
"KLF15",-5.13748692558601,2.1446364044352,-28.2392760170123,9.49956387927682e-112,1.6768841261119e-108
"SLC26A10",-5.20668017348317,-0.60500553875057,-27.9635531751562,2.59424942745005e-110,4.1214840653899e-107
"MYBPC3",-5.45871665437517,-1.57335672767177,-27.8496685404027,1.0182896326835e-109,1.47068794494934e-106
"PNPLA7",-3.93522985108933,3.39532484063826,-27.7323278788245,4.16976057778307e-109,5.52041552493664e-106
"CKM",-6.286894802933,-0.677340397748891,-27.5981513497022,2.0923230819508e-108,2.55697975407326e-105
"RNF112",-4.21702909633805,-0.379839379772862,-27.5060829557585,6.33238006255377e-108,7.1858944324137e-105
"RGS11",-4.49576643547383,2.1078943516537,-27.4745174574429,9.25771694246604e-108,9.80515660433054e-105
"IL11RA",-3.38725119791196,2.65285347035244,-27.3437899635904,4.46519915144625e-107,4.43366368243916e-104
"SEC31B",-3.58468089706086,2.85887745264801,-27.2835784628993,9.21963593522359e-107,8.61602094722924e-104
"CLCNKA",-5.78684356102343,-1.61746753785979,-27.2738751882505,1.03624977928425e-106,9.14605569082718e-104
"APBB3",-2.79520391158984,3.70352393505503,-27.2174525435129,2.04462060109445e-106,1.70962565734672e-103
"CD300LG",-5.65808001278696,-2.09842313502871,-27.0316411704272,1.91912908427708e-105,1.52446018809549e-102
"PNLIP",-6.95235228384878,-4.09669257613976,-26.990558346091,3.14937303303036e-105,2.38257568455969e-102
"GOLGA8N",-3.43595853869439,2.67962149754518,-26.895915640841,9.86129234102369e-105,7.12119779190197e-102
"RPRM",-5.69712955771265,-0.977783482310417,-26.8385045702621,1.97118265647815e-104,1.36157299406384e-101
"FLG2",-5.0631712547834,-3.83975802262252,-26.3809093636287,4.94892891364978e-102,3.26430459327418e-99
"RIC3",-4.97597875516061,0.946416580179879,-26.3778270989398,5.13675425390914e-102,3.26430459327418e-99
"AMY2A",-6.12362521949122,-4.39311578579709,-26.3488480492424,7.29115468908518e-102,4.45517594405755e-99
"SH3GL2",-6.42993580165378,-1.4449516911303,-26.3239137181764,9.85564875311832e-102,5.7991367311404e-99
"CKMT2",-4.88795613974655,0.416594471694964,-25.8888892722243,1.90062489291637e-99,1.07840098834866e-96
"MAL",-5.22258199192566,1.3865115839114,-25.7055056628907,1.75006373270037e-98,9.58733190393473e-96
"AQP4",-7.00592863049241,-1.98388278016113,-25.6001968837804,6.26500986737264e-98,3.31774039209831e-95
"INSRR",-5.46464592385096,-2.06674165207663,-25.2199289319552,6.2801265102132e-96,3.2184635441212e-93
"SLC25A27",-4.23805053216893,1.79430138499384,-25.0583941105672,4.45059449526858e-95,2.1632776721819e-92
"DNER",-5.60901528749676,0.260494776997091,-25.0576028642559,4.49349551092106e-95,2.1632776721819e-92
"EGFL8",-3.03754690367293,2.6197603124396,-24.8581862536205,5.04372551096145e-94,2.35675491743072e-91
"ABCC8",-5.98412225384268,-0.455276049853501,-24.8220910098538,7.81383330101523e-94,3.54681056152083e-91
"CELA2A",-5.66618800019348,-3.9768244115962,-24.7692362778184,1.48341368062388e-93,6.54638698446434e-91
"KRT24",-6.30992028971928,-3.71810240199098,-24.7330490799388,2.30079249222623e-93,9.87910549297246e-91
"GPER1",-4.82365066631739,2.2593295320036,-24.6708445887601,4.89275546951458e-93,2.04555805642574e-90
"FAM107A",-4.24015926397554,3.32867544534642,-24.5675033657637,1.71381849021254e-92,6.98139342410428e-90
"ITGA10",-3.6648367408963,1.4829344307465,-24.4672794823654,5.78085062333755e-92,2.29600934632409e-89
"KIAA0895L",-2.68801892927659,4.10989376531305,-24.4401602577151,8.03293000320088e-92,3.11266241367933e-89
"SCARA5",-5.28546678615627,2.30488857387209,-24.3943931900947,1.39961902280415e-91,5.29422557506893e-89
"DCAF12L1",-5.76716800852448,-3.93340782038967,-24.3650574153819,1.99790854981402e-91,7.38157514671986e-89
"CPA1",-6.35488253790009,-2.59401438237508,-24.3524733742959,2.32744567242685e-91,8.40366577223758e-89
"PGA4",-13.5087950627898,3.7507414670009,-24.1668307536595,2.21327495514118e-90,7.72271690805392e-88
"PGA3",-13.1920091569317,4.68398567165225,-24.1659860774732,2.23607337930686e-90,7.72271690805392e-88
"CPB1",-5.90107237840043,-1.88397215689036,-23.8230079459933,1.43424489108416e-88,4.84805289035191e-86
"KCTD8",-5.32146781465813,-2.44005579310194,-23.6636758409623,9.90930247884065e-88,3.27977267669461e-85
"PEBP4",-5.2229127569799,-2.10652529812983,-23.6360138445842,1.38600957250662e-87,4.49378246498217e-85
"MYH2",-5.03994217086201,-4.0298508597361,-23.6268313012939,1.54931241525573e-87,4.92278526823356e-85
"MYH7",-5.57982128604487,-2.64536629659019,-23.5376353094923,4.57080817688681e-87,1.42385155894511e-84
"MT1M",-4.80469928462975,1.69934335923494,-23.5327723372299,4.84850943475028e-87,1.48131287288226e-84
"TRIM73",-4.37638448834949,1.06701935427704,-23.5091550370513,6.45666455563465e-87,1.93541565651637e-84
"LGI4",-4.15856919725421,2.31427369947215,-23.5036675512707,6.90100153569083e-87,2.03030021106519e-84
"CTRB1",-6.29765159966871,-3.91625336907902,-23.4082529667644,2.19509570673559e-86,6.34063372598333e-84
"ADAM33",-5.04398662152831,3.134767611797,-23.3946603350868,2.58845074705609e-86,7.3433423247286e-84
"PLCXD3",-5.08701341984729,0.672798586616731,-23.2811765463419,1.02484066381374e-85,2.85642870631734e-83
"C16orf89",-5.49009973753488,1.7896891264803,-23.1850509572381,3.28686091067417e-85,9.00316539446216e-83
"MYL2",-5.14947620106803,-3.79581931246218,-23.1074221700465,8.42277161072155e-85,2.26800970473785e-82
